@relation moa_train_random_80_lag-weka.filters.unsupervised.attribute.StringToNominal-R4-6

@attribute year numeric
@attribute month numeric
@attribute day numeric
@attribute division {Dhaka,Rangpur,Sylhet,Barisal,Rajshahi,Mymensingh,Khulna,Chattagram}
@attribute commodity_name {'Ata (Packet)','Ata (loose) - White',Beef,'Broiler chicken','Egg Farm-Red','Garlic (Imported)','Garlic (local) - Big Size','Ginger (Imported)','Green Chili (Local)','Lentils - Desi-Whole',Milk,'Onion (local)','Palm Oil','Pangash (big)','Potato (Holland) - Red','Rice - Fine','Rice - Medium','Soybean Oil(loose)'}
@attribute retail_unit {Kilogram,'4 Pieces',Liter}
@attribute usd_bdt_rate numeric
@attribute average_price numeric
@attribute Price_T-1 numeric
@attribute Price_T-7 numeric
@attribute Price_T-30 numeric
@attribute Price_30d_MA numeric
@attribute target_7d numeric
@attribute target_14d numeric
@attribute target_30d numeric

@data
2025,7,29,Rangpur,'Onion (local)',Kilogram,122.85,52.5,52.5,57.5,57.5,54,72.5,70,72.5
2025,7,29,Dhaka,'Ata (loose) - White',Kilogram,122.85,41,41,41.5,40,41.101515,41.75,44,45.75
2025,7,29,Sylhet,'Rice - Fine',Kilogram,122.85,79,79,79,77.5,78.55,79,79,79
2025,7,29,Rangpur,'Rice - Fine',Kilogram,122.85,77.5,77.5,77.5,76,76.966667,77.5,77.5,77
2025,7,29,Dhaka,Beef,Kilogram,122.85,733.333333,733.333333,731.666667,731.666667,732.777778,736.25,728.333333,727.5
2025,7,29,Rangpur,'Garlic (local) - Big Size',Kilogram,122.85,110,110,110,125,115,110,110,110
2025,7,29,Rangpur,'Soybean Oil(loose)',Liter,122.85,165.5,165.5,165.5,163.5,165.328571,168.5,171,174.5
2025,7,29,Dhaka,'Ata (Packet)',Kilogram,122.85,53.5,53.5,53.5,51.25,52.583333,55.5,56.75,57.666667
2025,7,29,Sylhet,'Pangash (big)',Kilogram,122.85,165,165,165,165,165.888889,165,165,165
2025,7,29,Rangpur,'Ata (loose) - White',Kilogram,122.85,41,41,41,41,41.079167,41,42.5,44.5
2025,7,29,Sylhet,Beef,Kilogram,122.85,755,755,755,755,755,755,735,735
2025,7,29,Sylhet,'Green Chili (Local)',Kilogram,122.85,175,175,160,70,136.979167,215,215,185
2025,7,29,Sylhet,'Egg Farm-Red','4 Pieces',122.85,43,43,41,43.5,41.529167,49,50,46.5
2025,7,29,Sylhet,'Ata (loose) - White',Kilogram,122.85,42.5,42.5,42.5,42.5,42.729167,42.5,42.5,49
2025,7,29,Dhaka,'Lentils - Desi-Whole',Kilogram,122.85,135,135,135,132.5,131.871212,145,147.5,150
2025,7,29,Rangpur,'Ginger (Imported)',Kilogram,122.85,105,105,115,95,100.666667,165,165,155
2025,7,29,Sylhet,'Garlic (local) - Big Size',Kilogram,122.85,110,110,100,110,105,110,100,110
2025,7,29,Dhaka,'Palm Oil',Liter,122.85,152.5,152.5,151.5,153,152.333333,149.5,150.5,155.166667
2025,7,29,Dhaka,'Garlic (Imported)',Kilogram,122.85,165,165,162.5,192.5,183.209259,151.666667,148.333333,149.166667
2025,7,29,Dhaka,'Rice - Medium',Kilogram,122.85,64,64,64,63,63.744444,63.833333,63,62.75
2025,7,29,Sylhet,'Ginger (Imported)',Kilogram,122.85,125,125,125,120,123.166667,205,160,160
2025,7,29,Rangpur,'Potato (Holland) - Red',Kilogram,122.85,19,19,19,19,18.916667,19,19,19
2025,7,29,Dhaka,'Pangash (big)',Kilogram,122.85,167.5,167.5,177.5,177.5,178.038889,175,175,175
2025,7,29,Rangpur,Beef,Kilogram,122.85,695,695,695,695,695,695,695,710
2025,7,29,Sylhet,'Rice - Medium',Kilogram,122.85,65,65,65,65,65,65,65,65
2025,7,29,Rangpur,'Pangash (big)',Kilogram,122.85,175,175,175,175,175.158333,175,175,175
2025,7,29,Rangpur,'Broiler chicken',Kilogram,122.85,162.5,162.5,162.5,152.5,154.85,177.5,177.5,172.5
2025,7,29,Dhaka,'Egg Farm-Red','4 Pieces',122.85,42.166667,41.5,42.166667,43.333333,42.618056,47.833333,49.166667,47.875
2025,7,29,Sylhet,'Onion (local)',Kilogram,122.85,60,60,55,55,56.15,75,70,72.5
2025,7,29,Sylhet,'Ata (Packet)',Kilogram,122.85,55,55,55,55,55,55,55,60
2025,7,29,Dhaka,'Ginger (Imported)',Kilogram,122.85,146.666667,146.666667,146.666667,151.666667,145.888889,200,181.666667,167.5
2025,7,29,Rangpur,'Lentils - Desi-Whole',Kilogram,122.85,132.5,132.5,127.5,127.5,128.695833,135,135,147.5
2025,7,29,Sylhet,'Soybean Oil(loose)',Liter,122.85,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
2025,7,29,Dhaka,'Garlic (local) - Big Size',Kilogram,122.85,115.833333,115.833333,116.666667,118.333333,116.861111,113.333333,113.333333,113.75
2025,7,29,Rangpur,'Ata (Packet)',Kilogram,122.85,48,48,48,47,47.3,48,49,49
2025,7,29,Rangpur,'Green Chili (Local)',Kilogram,122.85,140,140,150,37.5,86.314286,175,210,150
2025,7,29,Dhaka,'Green Chili (Local)',Kilogram,122.85,455,195,201.666667,70,157,207.5,210,206.666667
2025,7,29,Dhaka,'Rice - Fine',Kilogram,122.85,81.75,81.75,81.75,76.75,79.813889,81.833333,79.75,80.25
2025,7,29,Rangpur,'Garlic (Imported)',Kilogram,122.85,205,205,205,180,200.783333,205,205,190
2025,7,29,Sylhet,'Broiler chicken',Kilogram,122.85,155,155,155,142.5,148.005556,155,155,165
2025,7,29,Rangpur,'Egg Farm-Red','4 Pieces',122.85,42.5,40.5,39,39.5,39.071429,47,47.5,43.5
2025,7,29,Dhaka,'Broiler chicken',Kilogram,122.85,161.666667,161.666667,162.5,157.5,159.033333,165,167.5,175
2025,7,30,Rangpur,'Rice - Fine',Kilogram,122.6,77.5,77.5,77.5,76,77.016667,77.5,77.5,77
2025,7,30,Sylhet,'Ginger (Imported)',Kilogram,122.6,140,125,130,120,123.333333,205,160,160
2025,7,30,Rangpur,'Egg Farm-Red','4 Pieces',122.6,43,42.5,39,39.5,39.171429,47.5,47.5,43.5
2025,7,30,Rangpur,'Ginger (Imported)',Kilogram,122.6,105,105,115,95,101,165,165,165
2025,7,30,Sylhet,'Rice - Fine',Kilogram,122.6,79,79,79,77.5,78.6,79,79,79
2025,7,30,Dhaka,'Green Chili (Local)',Kilogram,122.6,455,455,205,73.333333,169.833333,217.5,220,200
2025,7,30,Rajshahi,'Pangash (big)',Kilogram,122.6,170,170,170,170,170.825,170,170,185
2025,7,30,Dhaka,'Ata (Packet)',Kilogram,122.6,53.5,53.5,53.5,51.25,52.658333,55.5,57.5,57.666667
2025,7,30,Rangpur,'Soybean Oil(loose)',Liter,122.6,166.5,165.5,165.5,163.5,165.395238,168.5,171,174.5
2025,7,30,Barisal,'Ata (Packet)',Kilogram,122.6,51,51,51,47,49.8,55,55,53.166667
2025,7,30,Sylhet,'Garlic (local) - Big Size',Kilogram,122.6,100,110,105,110,105,105,100,110
2025,7,30,Rangpur,Beef,Kilogram,122.6,695,695,695,695,695,695,695,710
2025,7,30,Rangpur,'Potato (Holland) - Red',Kilogram,122.6,19,19,19,19,18.916667,19,19,19
2025,7,30,Sylhet,'Pangash (big)',Kilogram,122.6,165,165,165,165,165.888889,165,165,165
2025,7,30,Barisal,'Ginger (Imported)',Kilogram,122.6,177.5,167.5,157.5,155,153.583333,145,175,210
2025,7,30,Dhaka,'Lentils - Desi-Whole',Kilogram,122.6,135,135,135,132.5,131.954545,145,147.5,150
2025,7,30,Dhaka,'Ginger (Imported)',Kilogram,122.6,146.666667,146.666667,146.666667,151.666667,145.722222,200,168.333333,167.5
2025,7,30,Barisal,'Onion (local)',Kilogram,122.6,58.25,57.5,57.5,55,54.333333,67.5,72.5,70.833333
2025,7,30,Rajshahi,Beef,Kilogram,122.6,720,720,720,745,731.666667,720,720,720
2025,7,30,Barisal,'Broiler chicken',Kilogram,122.6,153.75,153.75,151.25,157.5,150.876667,155,157.5,175
2025,7,30,Barisal,'Garlic (local) - Big Size',Kilogram,122.6,125,125,125,165,137.166667,90,85,110
2025,7,30,Rangpur,'Palm Oil',Liter,122.6,153.5,153.5,153.5,152.5,153.352778,153.5,153.5,157.5
2025,7,30,Sylhet,Beef,Kilogram,122.6,755,755,755,755,755,755,735,735
2025,7,30,Dhaka,'Egg Farm-Red','4 Pieces',122.6,42.166667,42.166667,42.166667,43.333333,42.579167,47.833333,49.166667,47.875
2025,7,30,Rajshahi,'Ata (loose) - White',Kilogram,122.6,43.5,43.5,43.5,43.5,43.655556,43.5,43.5,47
2025,7,30,Sylhet,'Soybean Oil(loose)',Liter,122.6,182.5,182.5,182.5,182.5,182.5,182.5,182.5,182.5
2025,7,30,Rajshahi,'Onion (local)',Kilogram,122.6,57.5,52.5,52.5,52.5,49.5,72.5,72.5,67.5
2025,7,30,Rangpur,'Pangash (big)',Kilogram,122.6,175,175,175,175,175.158333,175,175,175
2025,7,30,Rajshahi,'Lentils - Desi-Whole',Kilogram,122.6,135,135,135,135,134.229167,135,145,145
2025,7,30,Rajshahi,'Ata (Packet)',Kilogram,122.6,52.5,52.5,52.5,52.5,52.5,52.5,52.5,55.5
2025,7,30,Rangpur,'Green Chili (Local)',Kilogram,122.6,150,140,150,37.5,89.730952,175,210,155
2025,7,30,Sylhet,'Broiler chicken',Kilogram,122.6,155,155,155,142.5,148.422222,155,155,165
2025,7,30,Rajshahi,'Garlic (Imported)',Kilogram,122.6,160,160,160,230,176.995833,150,150,150
2025,7,30,Dhaka,'Rice - Fine',Kilogram,122.6,81.75,81.75,81.75,76.75,79.980556,81.833333,79.75,80.25
2025,7,30,Sylhet,'Palm Oil',Liter,122.6,164,164,164,164,163.9875,164,164,170
2025,7,30,Dhaka,'Broiler chicken',Kilogram,122.6,164.166667,161.666667,162.5,157.5,159.172222,165.833333,168.333333,177.5
2025,7,30,Sylhet,'Egg Farm-Red','4 Pieces',122.6,43,43,41,43.5,41.5125,49,50,46.5
2025,7,30,Rajshahi,'Garlic (local) - Big Size',Kilogram,122.6,105,105,105,130,114.333333,105,105,105
2025,7,30,Rangpur,'Lentils - Desi-Whole',Kilogram,122.6,135,132.5,127.5,127.5,128.8625,135,135,147.5
2025,7,30,Rajshahi,'Egg Farm-Red','4 Pieces',122.6,43,41,39,41,40.09375,47,49,41
2025,7,30,Dhaka,'Garlic (local) - Big Size',Kilogram,122.6,115.833333,115.833333,116.666667,118.333333,116.777778,113.333333,113.333333,113.75
2025,7,30,Dhaka,'Pangash (big)',Kilogram,122.6,167.5,167.5,177.5,177.5,177.705556,175,167.5,175
2025,7,30,Sylhet,'Green Chili (Local)',Kilogram,122.6,175,175,225,70,140.479167,180,215,200
2025,7,30,Dhaka,'Palm Oil',Liter,122.6,152.5,152.5,151.5,153,152.316667,149.5,150.5,155.166667
2025,7,30,Sylhet,'Ata (loose) - White',Kilogram,122.6,42.5,42.5,42.5,42.5,42.729167,42.5,42.5,49
2025,7,30,Barisal,'Soybean Oil(loose)',Liter,122.6,174.25,173.75,173.75,183,175.877381,165.5,174.25,170
2025,7,30,Sylhet,'Garlic (Imported)',Kilogram,122.6,130,130,150,150,152.9625,135,135,135
2025,7,30,Barisal,'Garlic (Imported)',Kilogram,122.6,165,165,165,185,171.110714,145,153.75,155
2025,7,30,Rajshahi,'Soybean Oil(loose)',Liter,122.6,165.5,165.5,163.5,161,163.841667,167,165.5,169
2025,7,30,Rangpur,'Rice - Medium',Kilogram,122.6,63,63,63,63.5,63.183333,63.5,63.5,63
2025,7,30,Rajshahi,'Broiler chicken',Kilogram,122.6,165,155,165,155,157.316667,172.5,165,172.5
2025,7,30,Rangpur,'Broiler chicken',Kilogram,122.6,162.5,162.5,162.5,152.5,155.183333,177.5,172.5,172.5
2025,7,30,Sylhet,'Ata (Packet)',Kilogram,122.6,55,55,55,55,55,55,55,60
2025,7,30,Rajshahi,'Ginger (Imported)',Kilogram,122.6,130,110,110,105,109.166667,160,170,165
2025,7,30,Rangpur,'Garlic (local) - Big Size',Kilogram,122.6,110,110,110,125,114.5,110,110,110
2025,7,30,Rajshahi,'Potato (Holland) - Red',Kilogram,122.6,19,19,21.5,22.5,21.341667,19,19,19
2025,7,30,Dhaka,Milk,Liter,122.6,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
2025,7,30,Rajshahi,'Palm Oil',Liter,122.6,151,151,151,151,150.997619,151,151,156
2025,7,30,Barisal,'Green Chili (Local)',Kilogram,122.6,160,180,185,55,122.284524,190,222.5,165
2025,7,30,Dhaka,Beef,Kilogram,122.6,733.333333,733.333333,733.333333,731.666667,732.833333,736.25,728.333333,727.5
2025,7,30,Rangpur,'Garlic (Imported)',Kilogram,122.6,205,205,205,180,201.616667,205,205,190
2025,7,30,Dhaka,'Rice - Medium',Kilogram,122.6,64,64,64,63,63.777778,63.833333,63,62.75
2025,7,30,Dhaka,'Ata (loose) - White',Kilogram,122.6,41,41,41.5,40,41.134848,41.75,45,45.75
2025,7,31,Rajshahi,'Potato (Holland) - Red',Kilogram,122.25,19,19,21.5,22.5,21.225,19,19,19
2025,7,31,Rangpur,'Onion (local)',Kilogram,122.25,57.5,57.5,57.5,52.5,54,77.5,69,72.5
2025,7,31,Barisal,'Broiler chicken',Kilogram,122.25,153.75,153.75,151.25,157.5,150.751667,153.75,157.5,163.333333
2025,7,31,Sylhet,'Green Chili (Local)',Kilogram,122.25,175,175,215,70,143.979167,175,215,190
2025,7,31,Rajshahi,Beef,Kilogram,122.25,720,720,720,745,730.833333,720,720,720
2025,7,31,Rangpur,'Ata (Packet)',Kilogram,122.25,48,48,48,47,47.366667,48,49,49
2025,7,31,Barisal,'Soybean Oil(loose)',Liter,122.25,174.25,174.25,173.75,183,175.585714,174.25,169,178.666667
2025,7,31,Sylhet,'Ata (Packet)',Kilogram,122.25,55,55,55,55,55,55,55,60
2025,7,31,Rajshahi,'Palm Oil',Liter,122.25,151,151,151,151,150.997619,151,151,156
2025,7,31,Rajshahi,'Onion (local)',Kilogram,122.25,57.5,57.5,52.5,52.5,49.666667,72.5,72.5,67.5
2025,7,31,Barisal,'Ata (loose) - White',Kilogram,122.25,40,40,40,41,40.488889,42,45,44.333333
2025,7,31,Barisal,'Ginger (Imported)',Kilogram,122.25,177.5,177.5,157.5,155,154.333333,175,192.5,210
2025,7,31,Sylhet,'Ginger (Imported)',Kilogram,122.25,140,140,130,120,124,195,160,160
2025,7,31,Rangpur,'Palm Oil',Liter,122.25,153.5,153.5,153.5,153.5,153.386111,153.5,153.5,157.5
2025,7,31,Barisal,Beef,Kilogram,122.25,770,770,770,765,768.666667,770,770,768.333333
2025,7,31,Sylhet,'Egg Farm-Red','4 Pieces',122.25,43,43,41,42,41.495833,51,50,45
2025,7,31,Sylhet,'Palm Oil',Liter,122.25,164,164,164,164,163.9875,164,164,170
2025,7,31,Rajshahi,'Garlic (local) - Big Size',Kilogram,122.25,105,105,105,130,113.5,105,105,105
2025,7,31,Dhaka,Milk,Liter,122.25,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
2025,7,31,Dhaka,'Lentils - Desi-Whole',Kilogram,122.25,135,135,135,132.5,132.037879,145,147.5,148.75
2025,7,31,Dhaka,'Ata (loose) - White',Kilogram,122.25,41,41,41.5,40.25,41.168182,41.75,45.5,46.25
2025,7,31,Dhaka,'Pangash (big)',Kilogram,122.25,167.5,167.5,177.5,181.666667,177.372222,175,167.5,175
2025,7,31,Rangpur,'Garlic (local) - Big Size',Kilogram,122.25,110,110,110,125,114,110,110,110
2025,7,31,Rajshahi,'Broiler chicken',Kilogram,122.25,165,165,165,155,157.65,172.5,165,172.5
2025,7,31,Rajshahi,'Lentils - Desi-Whole',Kilogram,122.25,135,135,135,135,134.229167,135,145,145
2025,7,31,Rajshahi,'Pangash (big)',Kilogram,122.25,170,170,170,170,170.825,170,170,185
2025,7,31,Sylhet,'Broiler chicken',Kilogram,122.25,155,155,155,145,148.838889,155,160,165
2025,7,31,Barisal,'Palm Oil',Liter,122.25,160,160,159.25,167,160.552778,159,151.5,162.833333
2025,7,31,Rajshahi,'Ata (loose) - White',Kilogram,122.25,43.5,43.5,43.5,43.5,43.655556,43.5,43.5,49
2025,7,31,Rangpur,'Lentils - Desi-Whole',Kilogram,122.25,135,135,127.5,127.5,129.1125,135,135,147.5
2025,7,31,Rangpur,'Broiler chicken',Kilogram,122.25,162.5,162.5,162.5,152.5,155.516667,177.5,167.5,172.5
2025,7,31,Sylhet,'Garlic (Imported)',Kilogram,122.25,130,130,150,150,152.295833,140,135,135
2025,7,31,Dhaka,'Garlic (local) - Big Size',Kilogram,122.25,114.166667,115.833333,116.666667,115,116.694444,113.333333,117.5,112.5
2025,7,31,Dhaka,'Garlic (Imported)',Kilogram,122.25,170,165,162.5,206.666667,181.375926,151.666667,150,151.666667
2025,7,31,Sylhet,'Onion (local)',Kilogram,122.25,60,60,60,52.5,56.483333,80,72.5,72.5
2025,7,31,Rajshahi,'Soybean Oil(loose)',Liter,122.25,165.5,165.5,163.5,161,163.991667,167,165.5,169
2025,7,31,Rangpur,'Rice - Fine',Kilogram,122.25,77.5,77.5,77.5,76,77.066667,77.5,77.5,77
2025,7,31,Rangpur,'Pangash (big)',Kilogram,122.25,175,175,175,175,175.158333,175,175,175
2025,7,31,Barisal,'Green Chili (Local)',Kilogram,122.25,175,160,175,55,125.784524,187.5,230,155
2025,7,31,Sylhet,'Rice - Fine',Kilogram,122.25,79,79,79,77.5,78.65,79,79,79
2025,7,31,Dhaka,Beef,Kilogram,122.25,733.333333,733.333333,733.333333,735,732.888889,736.25,725,731
2025,7,31,Sylhet,'Rice - Medium',Kilogram,122.25,65,65,65,65,65,65,65,65
2025,7,31,Barisal,'Onion (local)',Kilogram,122.25,58.25,58.25,57.5,55,54.441667,72.5,75,70.833333
2025,7,31,Dhaka,'Green Chili (Local)',Kilogram,122.25,458.333333,455,205,68.75,182.555556,203.75,220,200
2025,7,31,Rajshahi,'Garlic (Imported)',Kilogram,122.25,160,160,160,230,174.6625,150,150,150
2025,7,31,Sylhet,'Garlic (local) - Big Size',Kilogram,122.25,100,100,105,115,104.666667,105,110,100
2025,7,31,Sylhet,'Pangash (big)',Kilogram,122.25,165,165,165,165,165.888889,165,165,165
2025,7,31,Rangpur,Beef,Kilogram,122.25,695,695,695,695,695,695,695,710
2025,7,31,Dhaka,'Rice - Medium',Kilogram,122.25,64.5,64,64,62.833333,63.811111,62.5,63,62.666667
2025,7,31,Dhaka,'Broiler chicken',Kilogram,122.25,164.166667,164.166667,162.5,157.5,159.394444,165.833333,168.333333,177.5
2025,7,31,Barisal,'Garlic (local) - Big Size',Kilogram,122.25,125,125,125,165,135.833333,122.5,110,110
2025,7,31,Rajshahi,'Ginger (Imported)',Kilogram,122.25,130,130,110,105,110,170,165,165
2025,7,31,Rangpur,'Ginger (Imported)',Kilogram,122.25,105,105,115,95,101.333333,165,165,165
2025,7,31,Rangpur,'Egg Farm-Red','4 Pieces',122.25,43,43,39,39.5,39.288095,47.5,47.5,43.5
2025,7,31,Barisal,'Ata (Packet)',Kilogram,122.25,51,51,51,47,49.933333,51,51,53.166667
2025,7,31,Barisal,'Egg Farm-Red','4 Pieces',122.25,41.75,41.75,39.75,43,40.796429,47,47,46.833333
2025,7,31,Rangpur,'Garlic (Imported)',Kilogram,122.25,205,205,205,180,202.45,205,205,190
2025,7,31,Dhaka,'Ata (Packet)',Kilogram,122.25,53.5,53.5,53.5,51.25,52.733333,55.5,59,57.666667
2025,7,31,Dhaka,'Rice - Fine',Kilogram,122.25,82.75,81.75,81.75,78.166667,80.147222,80.5,77,80.833333
2025,7,31,Dhaka,'Soybean Oil(loose)',Liter,122.25,170,170,169.166667,171.25,170.670238,170.625,172,175.75
2025,7,31,Dhaka,'Ginger (Imported)',Kilogram,122.25,146.666667,146.666667,146.666667,150,145.555556,196.666667,187.5,167.5
2025,7,31,Rangpur,'Potato (Holland) - Red',Kilogram,122.25,19,19,19,19,18.916667,19,19,19
2025,8,3,Rangpur,'Ginger (Imported)',Kilogram,122.25,115,105,105,95,101.666667,165,165,165
2025,8,3,Sylhet,'Rice - Medium',Kilogram,122.25,65,65,65,65,65,65,65,65
2025,8,3,Barisal,'Garlic (local) - Big Size',Kilogram,122.25,125,125,125,165,134.5,112.5,110,110
2025,8,3,Rajshahi,'Pangash (big)',Kilogram,122.25,170,170,170,170,170.825,170,170,185
2025,8,3,Sylhet,'Egg Farm-Red','4 Pieces',122.25,47,43,41,42,41.529167,51,51,44.5
2025,8,3,Sylhet,'Ata (Packet)',Kilogram,122.25,55,55,55,55,55,55,55,60
2025,8,3,Barisal,'Green Chili (Local)',Kilogram,122.25,185,175,175,55,129.784524,195,250,158.333333
2025,8,3,Rangpur,'Lentils - Desi-Whole',Kilogram,122.25,135,135,132.5,127.5,129.3625,135,135,147.5
2025,8,3,Rangpur,'Rice - Fine',Kilogram,122.25,77.5,77.5,77.5,76,77.116667,77.5,77.5,77
2025,8,3,Sylhet,'Onion (local)',Kilogram,122.25,70,60,60,52.5,56.733333,75,72.5,70
2025,8,3,Rajshahi,'Onion (local)',Kilogram,122.25,70,57.5,52.5,52.5,49.833333,72.5,72.5,67.5
2025,8,3,Rangpur,'Broiler chicken',Kilogram,122.25,167.5,162.5,162.5,152.5,155.85,177.5,167.5,182.5
2025,8,3,Barisal,'Rice - Fine',Kilogram,122.25,83.5,83.5,83.5,77.5,81.6,83.5,83.5,83.5
2025,8,3,Dhaka,'Soybean Oil(loose)',Liter,122.25,170,170,169.166667,172.833333,170.628571,170.5,171.25,174.8
2025,8,3,Rangpur,Beef,Kilogram,122.25,695,695,695,695,695,695,695,710
2025,8,3,Barisal,'Broiler chicken',Kilogram,122.25,153.75,153.75,151.25,157.5,150.626667,155,157.5,163.333333
2025,8,3,Dhaka,'Pangash (big)',Kilogram,122.25,167.5,167.5,177.5,177.5,176.9,167.5,190,178.75
2025,8,3,Barisal,'Palm Oil',Liter,122.25,160,160,159.25,167,160.319444,159,159.25,162.833333
2025,8,3,Barisal,'Rice - Medium',Kilogram,122.25,68.5,68.5,68.5,66.5,67.833333,68.5,68.5,68.5
2025,8,3,Dhaka,'Rice - Fine',Kilogram,122.25,81.75,82.75,81.75,77,80.3,79.75,79.75,80.25
2025,8,3,Rajshahi,'Potato (Holland) - Red',Kilogram,122.25,19,19,21.5,22.5,21.108333,19,19,19
2025,8,3,Dhaka,'Green Chili (Local)',Kilogram,122.25,198.333333,458.333333,195,73.333333,195.541667,191.666667,220,201.25
2025,8,3,Dhaka,'Garlic (local) - Big Size',Kilogram,122.25,114.166667,114.166667,115.833333,115,116.666667,113.333333,113.333333,112.5
2025,8,3,Dhaka,'Garlic (Imported)',Kilogram,122.25,165,170,165,192.5,180.153704,155,155,150
2025,8,3,Rangpur,'Ata (loose) - White',Kilogram,122.25,41,41,39,41,41.079167,41,43.5,44.5
2025,8,3,Rangpur,'Onion (local)',Kilogram,122.25,62.5,57.5,57.5,52.5,54.166667,77.5,69,72.5
2025,8,3,Dhaka,'Lentils - Desi-Whole',Kilogram,122.25,135,135,135,132.5,132.121212,147.5,145,148.75
2025,8,3,Rajshahi,'Green Chili (Local)',Kilogram,122.25,175,160,140,50,117.947917,190,240,190
2025,8,3,Dhaka,'Palm Oil',Liter,122.25,152.5,152.5,151.5,153,152.283333,149.5,152,157.7
2025,8,3,Rajshahi,'Garlic (local) - Big Size',Kilogram,122.25,105,105,105,130,112.666667,105,105,105
2025,8,3,Dhaka,Beef,Kilogram,122.25,733.333333,733.333333,733.333333,731.666667,732.833333,733.333333,728.333333,727.5
2025,8,3,Barisal,Beef,Kilogram,122.25,770,770,770,765,768.833333,770,770,768.333333
2025,8,3,Dhaka,'Ginger (Imported)',Kilogram,122.25,169.166667,146.666667,146.666667,150,145.444444,196.666667,168.333333,167.5
2025,8,3,Rangpur,'Garlic (Imported)',Kilogram,122.25,205,205,205,180,203.283333,205,205,190
2025,8,3,Rajshahi,'Egg Farm-Red','4 Pieces',122.25,43,43,39,41,40.227083,49,45,41
2025,8,3,Sylhet,'Ginger (Imported)',Kilogram,122.25,205,140,130,120,124.666667,170,175,130
2025,8,3,Rajshahi,'Garlic (Imported)',Kilogram,122.25,160,160,160,230,172.329167,150,150,150
2025,8,3,Sylhet,'Broiler chicken',Kilogram,122.25,155,155,155,145,149.172222,155,160,172.5
2025,8,3,Rangpur,'Rice - Medium',Kilogram,122.25,63,63,63,63.5,63.15,63.5,63.5,63
2025,8,3,Rangpur,'Pangash (big)',Kilogram,122.25,175,175,175,175,175.158333,175,175,175
2025,8,3,Rangpur,'Green Chili (Local)',Kilogram,122.25,165,150,140,32.5,97.397619,190,170,175
2025,8,3,Rangpur,'Soybean Oil(loose)',Liter,122.25,167.5,166.5,165.5,164.5,165.561905,169,172.5,174.5
2025,8,3,Dhaka,Milk,Liter,122.25,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
2025,8,3,Sylhet,'Rice - Fine',Kilogram,122.25,79,79,79,77.5,78.7,79,79,79
2025,8,3,Rajshahi,'Ata (Packet)',Kilogram,122.25,52.5,52.5,52.5,52.5,52.5,52.5,52.5,55.5
2025,8,3,Rajshahi,'Ginger (Imported)',Kilogram,122.25,130,130,110,105,110.833333,170,165,165
2025,8,3,Barisal,'Ata (Packet)',Kilogram,122.25,51,51,51,47,50.066667,51,51,53.166667
2025,8,3,Sylhet,Beef,Kilogram,122.25,755,755,755,755,755,755,735,735
2025,8,3,Rangpur,'Garlic (local) - Big Size',Kilogram,122.25,110,110,110,125,113.5,110,110,110
2025,8,3,Rajshahi,'Soybean Oil(loose)',Liter,122.25,165.5,165.5,163.5,161,164.141667,167,165.5,169
2025,8,3,Barisal,'Garlic (Imported)',Kilogram,122.25,165,165,165,185,169.777381,153.75,153.75,155
2025,8,3,Rangpur,'Palm Oil',Liter,122.25,153.5,153.5,153.5,153.5,153.386111,153.5,153.5,157.5
2025,8,3,Rangpur,'Ata (Packet)',Kilogram,122.25,48,48,48,47,47.4,49,49,49
2025,8,3,Barisal,'Ginger (Imported)',Kilogram,122.25,210,177.5,157.5,155,155.083333,215,192.5,201.666667
2025,8,3,Dhaka,'Ata (loose) - White',Kilogram,122.25,41.5,41,41.5,40,41.193182,43.333333,44.25,45.2
2025,8,3,Rajshahi,Beef,Kilogram,122.25,720,720,720,745,730,720,720,720
2025,8,3,Dhaka,'Rice - Medium',Kilogram,122.25,64.5,64.5,64,63,63.866667,62.5,63,62.75
2025,8,3,Sylhet,'Garlic (local) - Big Size',Kilogram,122.25,95,100,105,115,104.166667,100,105,100
2025,8,3,Dhaka,'Ata (Packet)',Kilogram,122.25,55,53.5,53.5,51.25,52.808333,57,57.5,57.666667
2025,8,3,Barisal,'Ata (loose) - White',Kilogram,122.25,40,40,40,41,40.455556,42.75,43,44.333333
2025,8,4,Rangpur,'Palm Oil',Liter,121.9,153.5,153.5,153.5,153.5,153.386111,153.5,153.5,154.642857
2025,8,4,Dhaka,'Egg Farm-Red','4 Pieces',121.9,45.25,45.666667,41.5,42.833333,42.568056,48,48.5,46.769231
2025,8,4,Rajshahi,'Ginger (Imported)',Kilogram,121.9,160,130,110,105,111.666667,170,165,165
2025,8,4,Rajshahi,'Ata (loose) - White',Kilogram,121.9,43.5,43.5,43.5,43.5,43.655556,43.5,43.5,51.1875
2025,8,4,Sylhet,Beef,Kilogram,121.9,755,755,755,755,755,735,735,735
