Target_Horizon,Model,commodity_name,MSE,RMSE,R,RAE (%),MAPE (%)
target_14,Gradient Boosting (Random),'Ata (Packet)',3.445,1.8561,0.7404,68.82,2.53
target_14,Linear Regression (Random),'Ata (Packet)',2.8604,1.6913,0.7367,66.76,2.45
target_14,M5P (Random),'Ata (Packet)',6.8423,2.6158,0.7713,104.06,3.77
target_14,Random Forest (Random),'Ata (Packet)',4.5839,2.141,0.8159,88.32,3.25
target_14,XGBoost (Random),'Ata (Packet)',1.6972,1.3028,0.8567,48.12,1.78
target_14,Gradient Boosting (Random),'Ata (loose) - White',6.2084,2.4917,0.6377,65.73,3.82
target_14,Linear Regression (Random),'Ata (loose) - White',7.6453,2.765,0.536,82.85,4.88
target_14,M5P (Random),'Ata (loose) - White',6.5266,2.5547,0.6381,55.36,3.25
target_14,Random Forest (Random),'Ata (loose) - White',9.1512,3.0251,0.6792,93.84,5.55
target_14,XGBoost (Random),'Ata (loose) - White',4.328,2.0804,0.7618,52.92,3.08
target_14,Gradient Boosting (Random),'Broiler chicken',131.8898,11.4843,0.5152,87.7,4.82
target_14,Linear Regression (Random),'Broiler chicken',257.6855,16.0526,0.2107,103.21,5.68
target_14,M5P (Random),'Broiler chicken',317.2982,17.8129,0.2672,88.15,4.89
target_14,Random Forest (Random),'Broiler chicken',300.8572,17.3452,0.4614,63.75,3.57
target_14,XGBoost (Random),'Broiler chicken',594.5238,24.3829,0.3382,77.09,4.26
target_14,Gradient Boosting (Random),'Egg Farm-Red',8.4014,2.8985,0.7242,67.13,5.68
target_14,Linear Regression (Random),'Egg Farm-Red',10.556,3.249,0.6176,74.1,6.21
target_14,M5P (Random),'Egg Farm-Red',10.5873,3.2538,0.6714,75.3,6.37
target_14,Random Forest (Random),'Egg Farm-Red',15.2268,3.9021,0.7052,95.06,8.07
target_14,XGBoost (Random),'Egg Farm-Red',3.7057,1.925,0.8831,43.34,3.63
target_14,Gradient Boosting (Random),'Garlic (Imported)',268.2413,16.3781,0.774,63.14,7.41
target_14,Linear Regression (Random),'Garlic (Imported)',398.407,19.9601,0.6444,79.32,9.4
target_14,M5P (Random),'Garlic (Imported)',308.4891,17.5639,0.7736,66.71,8.05
target_14,Random Forest (Random),'Garlic (Imported)',50.0978,7.078,0.9639,24.5,2.92
target_14,XGBoost (Random),'Garlic (Imported)',74.6195,8.6383,0.9418,32.58,3.87
target_14,Gradient Boosting (Random),'Garlic (local) - Big Size',128.6113,11.3407,0.5843,76.53,10.23
target_14,Linear Regression (Random),'Garlic (local) - Big Size',117.4666,10.8382,0.6376,73.96,9.79
target_14,M5P (Random),'Garlic (local) - Big Size',103.592,10.178,0.6933,64.98,8.45
target_14,Random Forest (Random),'Garlic (local) - Big Size',37.8746,6.1542,0.9018,36.05,4.73
target_14,XGBoost (Random),'Garlic (local) - Big Size',125.5377,11.2044,0.658,57.08,7.59
target_14,Gradient Boosting (Random),'Ginger (Imported)',523.3096,22.876,0.4547,72.28,7.65
target_14,Linear Regression (Random),'Ginger (Imported)',530.9773,23.0429,0.4129,77.02,8.23
target_14,M5P (Random),'Ginger (Imported)',532.0469,23.0661,0.4116,78.52,8.42
target_14,Random Forest (Random),'Ginger (Imported)',91.2451,9.5522,0.9297,33.94,3.77
target_14,XGBoost (Random),'Ginger (Imported)',129.8054,11.3932,0.893,43.21,4.83
target_14,Gradient Boosting (Random),'Green Chili (Local)',9341.4241,96.651,0.3848,73.05,29.84
target_14,Linear Regression (Random),'Green Chili (Local)',10847.415,104.1509,0.1977,85.09,35.63
target_14,M5P (Random),'Green Chili (Local)',10916.3621,104.4814,0.2139,80.97,34.76
target_14,Random Forest (Random),'Green Chili (Local)',8646.9364,92.9889,0.4603,45.2,15.15
target_14,XGBoost (Random),'Green Chili (Local)',9638.5959,98.1764,0.3812,50.92,18.46
target_14,Gradient Boosting (Random),'Lentils - Desi-Whole',148.9454,12.2043,0.436,73.47,4.79
target_14,Linear Regression (Random),'Lentils - Desi-Whole',122.079,11.0489,0.4734,64.52,4.24
target_14,M5P (Random),'Lentils - Desi-Whole',145.0612,12.0441,0.3107,79.83,5.1
target_14,Random Forest (Random),'Lentils - Desi-Whole',129.4984,11.3797,0.4556,58.18,3.88
target_14,XGBoost (Random),'Lentils - Desi-Whole',115.6616,10.7546,0.5263,62.72,4.1
target_14,Gradient Boosting (Random),'Onion (local)',102.8027,10.1392,0.9052,37.47,12.96
target_14,Linear Regression (Random),'Onion (local)',291.1314,17.0626,0.7102,69.5,24.64
target_14,M5P (Random),'Onion (local)',89.3183,9.4508,0.9161,35.54,12.91
target_14,Random Forest (Random),'Onion (local)',23.7831,4.8768,0.9792,17.73,6.6
target_14,XGBoost (Random),'Onion (local)',34.9734,5.9138,0.9679,19.94,6.9
target_14,Gradient Boosting (Random),'Palm Oil',70.58,8.4012,0.4607,48.43,1.53
target_14,Linear Regression (Random),'Palm Oil',73.5976,8.5789,0.4136,62.68,2.02
target_14,M5P (Random),'Palm Oil',77.758,8.8181,0.3609,75.35,2.46
target_14,Random Forest (Random),'Palm Oil',27.5664,5.2504,0.8865,47.52,1.56
target_14,XGBoost (Random),'Palm Oil',27.9487,5.2867,0.8493,38.97,1.26
target_14,Gradient Boosting (Random),'Pangash (big)',40.2686,6.3458,0.7523,51.01,2.23
