inst#,actual,predicted,error,commodity_name
1,153.5,159.584,6.084,'Palm Oil'
2,164,166.095,2.095,'Palm Oil'
3,97.5,94.307,-3.193,Milk
4,140,154.571,14.571,'Garlic (Imported)'
5,71.333,55.912,-15.421,'Onion (local)'
6,63.5,64.657,1.157,'Rice - Medium'
7,171.75,178.776,7.026,'Soybean Oil(loose)'
8,150,170.654,20.654,'Garlic (Imported)'
9,72.5,56,-16.5,'Onion (local)'
10,49,53.091,4.091,'Ata (Packet)'
11,1330,124.751,-1205.249,'Green Chili (Local)'
12,65,66.361,1.361,'Rice - Medium'
13,172,178.793,6.793,'Soybean Oil(loose)'
14,159,163.702,4.702,'Palm Oil'
15,48,43.495,-4.505,'Egg Farm-Red'
16,42.75,44.659,1.909,'Ata (loose) - White'
17,42.5,44.56,2.06,'Ata (loose) - White'
18,69,56.607,-12.393,'Onion (local)'
19,775,763.608,-11.392,Beef
20,70,58.51,-11.49,'Onion (local)'
21,63.5,64.74,1.24,'Rice - Medium'
22,172.5,175.923,3.423,'Soybean Oil(loose)'
23,49,41.561,-7.439,'Egg Farm-Red'
24,52.5,54.368,1.868,'Ata (Packet)'
25,42.5,46.079,3.579,'Ata (loose) - White'
26,49.167,44.395,-4.772,'Egg Farm-Red'
27,1330,127.946,-1202.054,'Green Chili (Local)'
28,146.5,159.533,13.033,'Palm Oil'
29,735,755.396,20.396,Beef
30,152.5,166.884,14.384,'Garlic (Imported)'
31,190,119.686,-70.314,'Green Chili (Local)'
32,182.5,185.837,3.337,'Soybean Oil(loose)'
33,72.5,56.667,-15.833,'Onion (local)'
34,43.5,44.608,1.108,'Ata (loose) - White'
35,164,164.412,0.412,'Palm Oil'
36,75,57.778,-17.222,'Onion (local)'
37,130,152.145,22.145,'Garlic (Imported)'
38,176,179.189,3.189,'Soybean Oil(loose)'
39,47,41.473,-5.527,'Egg Farm-Red'
40,42.5,44.3,1.8,'Ata (loose) - White'
41,175,167.876,-7.124,'Broiler chicken'
42,145,140.818,-4.182,'Lentils - Desi-Whole'
43,43.5,42.77,-0.73,'Ata (loose) - White'
44,182.5,184.059,1.559,'Soybean Oil(loose)'
45,19,20.657,1.657,'Potato (Holland) - Red'
46,151,154.984,3.984,'Palm Oil'
47,48.25,43.263,-4.987,'Egg Farm-Red'
48,72.5,57.237,-15.263,'Onion (local)'
49,165,173.524,8.524,'Pangash (big)'
50,47.5,41.449,-6.051,'Egg Farm-Red'
51,225,156.706,-68.294,'Green Chili (Local)'
52,172.5,165.824,-6.676,'Broiler chicken'
53,175,146.485,-28.515,'Green Chili (Local)'
54,110,100.875,-9.125,'Garlic (local) - Big Size'
55,55,56.122,1.122,'Ata (Packet)'
56,79,78.434,-0.566,'Rice - Fine'
57,57.5,55.185,-2.315,'Ata (Packet)'
58,19,19.852,0.852,'Potato (Holland) - Red'
59,720,733.571,13.571,Beef
60,168.333,157.683,-10.65,'Ginger (Imported)'
61,135,141.031,6.031,'Lentils - Desi-Whole'
62,63.5,62.998,-0.502,'Rice - Medium'
63,105,95.412,-9.588,'Garlic (local) - Big Size'
64,176,179.128,3.128,'Soybean Oil(loose)'
65,105,97.32,-7.68,'Garlic (local) - Big Size'
66,170,124.307,-45.693,'Green Chili (Local)'
67,77.5,76.956,-0.544,'Rice - Fine'
68,79.75,79.64,-0.11,'Rice - Fine'
