inst#,actual,predicted,error,commodity_name
1,153.5,155.205,1.705,'Palm Oil'
2,164,165.628,1.628,'Palm Oil'
3,97.5,97.326,-0.174,Milk
4,140,139.656,-0.344,'Garlic (Imported)'
5,71.333,63.845,-7.489,'Onion (local)'
6,63.5,62.936,-0.564,'Rice - Medium'
7,171.75,170.771,-0.979,'Soybean Oil(loose)'
8,150,157.576,7.576,'Garlic (Imported)'
9,72.5,64.133,-8.367,'Onion (local)'
10,49,48.694,-0.306,'Ata (Packet)'
11,1330,182.697,-1147.303,'Green Chili (Local)'
12,65,66.302,1.302,'Rice - Medium'
13,172,170.603,-1.397,'Soybean Oil(loose)'
14,159,161.05,2.05,'Palm Oil'
15,48,45.065,-2.935,'Egg Farm-Red'
16,42.75,42.111,-0.639,'Ata (loose) - White'
17,42.5,43.744,1.244,'Ata (loose) - White'
18,69,68.063,-0.937,'Onion (local)'
19,775,771.051,-3.949,Beef
20,70,70.18,0.18,'Onion (local)'
21,63.5,62.876,-0.624,'Rice - Medium'
22,172.5,167.796,-4.704,'Soybean Oil(loose)'
23,49,46.144,-2.856,'Egg Farm-Red'
24,52.5,54.911,2.411,'Ata (Packet)'
25,42.5,44.379,1.879,'Ata (loose) - White'
26,49.167,45.724,-3.442,'Egg Farm-Red'
27,1330,182.147,-1147.853,'Green Chili (Local)'
28,146.5,154.022,7.522,'Palm Oil'
29,735,735.575,0.575,Beef
30,152.5,162.842,10.342,'Garlic (Imported)'
31,190,183.105,-6.895,'Green Chili (Local)'
32,182.5,182.523,0.023,'Soybean Oil(loose)'
33,72.5,64.217,-8.283,'Onion (local)'
34,43.5,43.491,-0.009,'Ata (loose) - White'
35,164,166.34,2.34,'Palm Oil'
36,75,66.404,-8.596,'Onion (local)'
37,130,140.089,10.089,'Garlic (Imported)'
38,176,176.459,0.459,'Soybean Oil(loose)'
39,47,41.403,-5.597,'Egg Farm-Red'
40,42.5,44.758,2.258,'Ata (loose) - White'
41,175,168.275,-6.725,'Broiler chicken'
42,145,143.654,-1.346,'Lentils - Desi-Whole'
43,43.5,45.223,1.723,'Ata (loose) - White'
44,182.5,183.878,1.378,'Soybean Oil(loose)'
