inst#,actual,predicted,error,commodity_name
1,153.5,157.97,4.47,'Palm Oil'
2,164,166.151,2.151,'Palm Oil'
3,97.5,96.612,-0.888,Milk
4,135,140.697,5.697,'Garlic (Imported)'
5,73.667,56.173,-17.493,'Onion (local)'
6,63.5,68.325,4.825,'Rice - Medium'
7,170.625,174.196,3.571,'Soybean Oil(loose)'
8,151.667,168.358,16.691,'Garlic (Imported)'
9,73.667,55.77,-17.896,'Onion (local)'
10,48,50.695,2.695,'Ata (Packet)'
11,180,145.205,-34.795,'Green Chili (Local)'
12,65,68.969,3.969,'Rice - Medium'
13,170.625,173.76,3.135,'Soybean Oil(loose)'
14,151,161.446,10.446,'Palm Oil'
15,47,43.956,-3.044,'Egg Farm-Red'
16,43,42.765,-0.235,'Ata (loose) - White'
17,41,44.917,3.917,'Ata (loose) - White'
18,72.5,58.229,-14.271,'Onion (local)'
19,775,754.666,-20.334,Beef
20,75,59.805,-15.195,'Onion (local)'
21,63.5,67.332,3.832,'Rice - Medium'
22,168.5,170.759,2.259,'Soybean Oil(loose)'
23,47,45.048,-1.952,'Egg Farm-Red'
24,52.5,53.372,0.872,'Ata (Packet)'
25,42.5,45.036,2.536,'Ata (loose) - White'
26,48,44.963,-3.037,'Egg Farm-Red'
27,190,152.204,-37.796,'Green Chili (Local)'
28,149.5,155.485,5.985,'Palm Oil'
29,755,761.533,6.533,Beef
30,160,165.295,5.295,'Garlic (Imported)'
31,175,143.141,-31.859,'Green Chili (Local)'
32,182.5,186.873,4.373,'Soybean Oil(loose)'
33,80.333,56.978,-23.355,'Onion (local)'
34,41,44.351,3.351,'Ata (loose) - White'
35,164,166.349,2.349,'Palm Oil'
36,75,64.627,-10.373,'Onion (local)'
37,135,140.547,5.547,'Garlic (Imported)'
38,174.25,176.955,2.705,'Soybean Oil(loose)'
39,47,43.893,-3.107,'Egg Farm-Red'
40,42.5,46.222,3.722,'Ata (loose) - White'
41,165.833,168.934,3.1,'Broiler chicken'
42,135,140.219,5.219,'Lentils - Desi-Whole'
43,43.5,47.047,3.547,'Ata (loose) - White'
44,182.5,186.89,4.39,'Soybean Oil(loose)'
45,19,22.424,3.424,'Potato (Holland) - Red'
46,151,155.463,4.463,'Palm Oil'
47,48,48.348,0.348,'Egg Farm-Red'
48,82,65.256,-16.744,'Onion (local)'
49,165,170.321,5.321,'Pangash (big)'
50,47.5,47.821,0.321,'Egg Farm-Red'
51,200,243.727,43.727,'Green Chili (Local)'
52,172.5,169.398,-3.102,'Broiler chicken'
53,215,103.998,-111.002,'Green Chili (Local)'
54,110,107.154,-2.846,'Garlic (local) - Big Size'
55,55,56.086,1.086,'Ata (Packet)'
56,79,80.774,1.774,'Rice - Fine'
57,57,54.858,-2.142,'Ata (Packet)'
58,19,21.44,2.44,'Potato (Holland) - Red'
59,720,721.801,1.801,Beef
60,196.667,179.624,-17.043,'Ginger (Imported)'
61,135,139.81,4.81,'Lentils - Desi-Whole'
62,63.5,67.946,4.446,'Rice - Medium'
63,100,94.857,-5.143,'Garlic (local) - Big Size'
64,174.25,176.338,2.088,'Soybean Oil(loose)'
65,105,102.583,-2.417,'Garlic (local) - Big Size'
66,190,155.986,-34.014,'Green Chili (Local)'
67,77.5,80.078,2.578,'Rice - Fine'
68,80.5,82.517,2.017,'Rice - Fine'
69,151,154.897,3.897,'Palm Oil'
70,165.5,171.085,5.585,'Soybean Oil(loose)'
71,736.25,734.108,-2.142,Beef
72,140,139.505,-0.495,'Garlic (Imported)'
73,97.5,96.245,-1.255,Milk
74,217.5,179.963,-37.537,'Ginger (Imported)'
75,163,165.373,2.373,'Palm Oil'
76,205,169.345,-35.655,'Pangash (big)'
