inst#,actual,predicted,error,commodity_name
1,56.75,56.577,-0.173,'Ata (Packet)'
2,49,50.309,1.309,'Ata (Packet)'
3,55,59.455,4.455,'Ata (Packet)'
4,44,44.352,0.352,'Ata (loose) - White'
5,42.5,44.352,1.852,'Ata (loose) - White'
6,42.5,45.497,2.997,'Ata (loose) - White'
7,728.333,732.214,3.881,Beef
8,695,709.598,14.598,Beef
9,735,751.049,16.049,Beef
10,167.5,167.408,-0.092,'Broiler chicken'
11,177.5,167.408,-10.092,'Broiler chicken'
12,155,161.05,6.05,'Broiler chicken'
13,49.167,45.497,-3.67,'Egg Farm-Red'
14,47.5,45.497,-2.003,'Egg Farm-Red'
15,50,47.187,-2.813,'Egg Farm-Red'
16,148.333,169.408,21.075,'Garlic (Imported)'
17,205,188.231,-16.769,'Garlic (Imported)'
18,140,140.928,0.928,'Garlic (Imported)'
19,113.333,118.458,5.125,'Garlic (local) - Big Size'
20,110,104.307,-5.693,'Garlic (local) - Big Size'
21,100,101.801,1.801,'Garlic (local) - Big Size'
22,181.667,156.109,-25.558,'Ginger (Imported)'
23,165,111.166,-53.834,'Ginger (Imported)'
24,160,132.509,-27.491,'Ginger (Imported)'
25,210,186.838,-23.162,'Green Chili (Local)'
26,210,206.732,-3.268,'Green Chili (Local)'
27,215,186.276,-28.724,'Green Chili (Local)'
28,147.5,141.178,-6.322,'Lentils - Desi-Whole'
29,135,135.532,0.532,'Lentils - Desi-Whole'
30,97.5,97.08,-0.42,Milk
31,71.333,56.483,-14.85,'Onion (local)'
32,70,52.173,-17.827,'Onion (local)'
33,70,57.721,-12.279,'Onion (local)'
34,150.5,156.015,5.515,'Palm Oil'
35,153.5,160.386,6.886,'Palm Oil'
36,164,166.174,2.174,'Palm Oil'
37,175,173.144,-1.856,'Pangash (big)'
38,175,180.587,5.587,'Pangash (big)'
39,165,168.197,3.197,'Pangash (big)'
40,19,22.949,3.949,'Potato (Holland) - Red'
41,79.75,81.802,2.052,'Rice - Fine'
42,77.5,81.802,4.302,'Rice - Fine'
43,79,81.802,2.802,'Rice - Fine'
44,63,66.943,3.943,'Rice - Medium'
45,63.5,63.727,0.227,'Rice - Medium'
46,65,70.799,5.799,'Rice - Medium'
47,171.75,173.15,1.4,'Soybean Oil(loose)'
48,171,171.233,0.233,'Soybean Oil(loose)'
49,182.5,184.818,2.318,'Soybean Oil(loose)'
50,55,52.002,-2.998,'Ata (Packet)'
51,57.5,56.577,-0.923,'Ata (Packet)'
52,52.5,55.145,2.645,'Ata (Packet)'
53,49,50.309,1.309,'Ata (Packet)'
54,55,59.455,4.455,'Ata (Packet)'
55,42.75,43.138,0.388,'Ata (loose) - White'
56,45,44.352,-0.648,'Ata (loose) - White'
57,43.5,47.326,3.826,'Ata (loose) - White'
58,42.5,44.352,1.852,'Ata (loose) - White'
59,42.5,45.497,2.997,'Ata (loose) - White'
60,775,769.501,-5.499,Beef
61,728.333,732.214,3.881,Beef
62,720,725.526,5.526,Beef
63,695,709.598,14.598,Beef
64,735,751.049,16.049,Beef
65,157.5,159.796,2.296,'Broiler chicken'
66,168.333,167.408,-0.925,'Broiler chicken'
67,165,166.75,1.75,'Broiler chicken'
68,172.5,167.408,-5.092,'Broiler chicken'
69,155,161.05,6.05,'Broiler chicken'
70,48,45.497,-2.503,'Egg Farm-Red'
71,49.167,45.497,-3.67,'Egg Farm-Red'
72,49,47.187,-1.813,'Egg Farm-Red'
73,47.5,47.187,-0.313,'Egg Farm-Red'
74,50,47.187,-2.813,'Egg Farm-Red'
75,153.75,169.408,15.658,'Garlic (Imported)'
76,150,169.408,19.408,'Garlic (Imported)'
77,150,158.549,8.549,'Garlic (Imported)'
78,205,188.231,-16.769,'Garlic (Imported)'
79,135,140.928,5.928,'Garlic (Imported)'
80,85,133.346,48.346,'Garlic (local) - Big Size'
81,113.333,118.458,5.125,'Garlic (local) - Big Size'
82,105,102.862,-2.138,'Garlic (local) - Big Size'
83,110,104.307,-5.693,'Garlic (local) - Big Size'
84,100,99.426,-0.574,'Garlic (local) - Big Size'
85,175,175.359,0.359,'Ginger (Imported)'
86,168.333,156.109,-12.225,'Ginger (Imported)'
87,170,122.985,-47.015,'Ginger (Imported)'
88,165,111.166,-53.834,'Ginger (Imported)'
89,160,137.159,-22.841,'Ginger (Imported)'
90,222.5,180.015,-42.485,'Green Chili (Local)'
91,220,192.527,-27.473,'Green Chili (Local)'
92,1330,510.307,-819.693,'Green Chili (Local)'
93,210,237.125,27.125,'Green Chili (Local)'
94,215,185.108,-29.892,'Green Chili (Local)'
95,147.5,141.178,-6.322,'Lentils - Desi-Whole'
96,145,141.178,-3.822,'Lentils - Desi-Whole'
97,135,135.532,0.532,'Lentils - Desi-Whole'
98,97.5,97.08,-0.42,Milk
99,72.5,57.721,-14.779,'Onion (local)'
100,72.5,56.483,-16.017,'Onion (local)'
101,72.5,53.341,-19.159,'Onion (local)'
102,69,56.483,-12.517,'Onion (local)'
103,70,57.721,-12.279,'Onion (local)'
104,159,165.515,6.515,'Palm Oil'
105,150.5,156.015,5.515,'Palm Oil'
106,151,156.015,5.015,'Palm Oil'
107,153.5,160.386,6.886,'Palm Oil'
108,164,166.174,2.174,'Palm Oil'
109,167.5,173.144,5.644,'Pangash (big)'
110,170,172.668,2.668,'Pangash (big)'
111,175,180.587,5.587,'Pangash (big)'
112,165,168.197,3.197,'Pangash (big)'
113,19,22.949,3.949,'Potato (Holland) - Red'
114,19,22.949,3.949,'Potato (Holland) - Red'
115,79.75,81.802,2.052,'Rice - Fine'
116,77.5,81.802,4.302,'Rice - Fine'
117,79,81.802,2.802,'Rice - Fine'
118,63,66.943,3.943,'Rice - Medium'
119,63.5,63.727,0.227,'Rice - Medium'
120,65,70.799,5.799,'Rice - Medium'
121,174.25,179.498,5.248,'Soybean Oil(loose)'
122,172,173.15,1.15,'Soybean Oil(loose)'
123,165.5,170.986,5.486,'Soybean Oil(loose)'
124,171,171.233,0.233,'Soybean Oil(loose)'
125,182.5,184.818,2.318,'Soybean Oil(loose)'
126,51,52.002,1.002,'Ata (Packet)'
127,59,56.577,-2.423,'Ata (Packet)'
128,52.5,55.145,2.645,'Ata (Packet)'
129,49,50.309,1.309,'Ata (Packet)'
130,55,59.455,4.455,'Ata (Packet)'
131,45,43.138,-1.862,'Ata (loose) - White'
132,45.5,44.352,-1.148,'Ata (loose) - White'
133,43.5,47.326,3.826,'Ata (loose) - White'
