inst#,actual,predicted,error,commodity_name
1,56.75,61.091,4.341,'Ata (Packet)'
2,49,57.239,8.239,'Ata (Packet)'
3,55,62.045,7.045,'Ata (Packet)'
4,44,49.9,5.9,'Ata (loose) - White'
5,42.5,48.975,6.475,'Ata (loose) - White'
6,42.5,50.587,8.087,'Ata (loose) - White'
7,728.333,746.758,18.425,Beef
8,695,724.987,29.987,Beef
9,735,758.806,23.806,Beef
10,167.5,174.57,7.07,'Broiler chicken'
11,177.5,172.471,-5.029,'Broiler chicken'
12,155,169.523,14.523,'Broiler chicken'
13,49.167,48.838,-0.329,'Egg Farm-Red'
14,47.5,46.622,-0.878,'Egg Farm-Red'
15,50,48.374,-1.626,'Egg Farm-Red'
16,148.333,179.531,31.197,'Garlic (Imported)'
17,205,195.272,-9.728,'Garlic (Imported)'
18,140,164.071,24.071,'Garlic (Imported)'
19,113.333,110.648,-2.685,'Garlic (local) - Big Size'
20,110,107.33,-2.67,'Garlic (local) - Big Size'
21,100,104.436,4.436,'Garlic (local) - Big Size'
22,181.667,153.176,-28.49,'Ginger (Imported)'
23,165,129.459,-35.541,'Ginger (Imported)'
24,160,141.431,-18.569,'Ginger (Imported)'
25,210,179.576,-30.424,'Green Chili (Local)'
26,210,115.006,-94.994,'Green Chili (Local)'
27,215,140.734,-74.266,'Green Chili (Local)'
28,147.5,148.555,1.055,'Lentils - Desi-Whole'
29,135,146.023,11.023,'Lentils - Desi-Whole'
30,97.5,98.718,1.218,Milk
31,71.333,61.266,-10.067,'Onion (local)'
32,70,60.445,-9.555,'Onion (local)'
33,70,63.299,-6.701,'Onion (local)'
34,150.5,163.909,13.409,'Palm Oil'
35,153.5,163.799,10.299,'Palm Oil'
36,164,170.308,6.308,'Palm Oil'
37,175,184.173,9.173,'Pangash (big)'
38,175,183.34,8.34,'Pangash (big)'
39,165,178.857,13.857,'Pangash (big)'
40,19,26.1,7.1,'Potato (Holland) - Red'
41,79.75,85.796,6.046,'Rice - Fine'
42,77.5,82.971,5.471,'Rice - Fine'
43,79,84.555,5.555,'Rice - Fine'
44,63,70.243,7.243,'Rice - Medium'
45,63.5,68.957,5.457,'Rice - Medium'
46,65,70.733,5.733,'Rice - Medium'
47,171.75,182.981,11.231,'Soybean Oil(loose)'
48,171,179.63,8.63,'Soybean Oil(loose)'
49,182.5,189.651,7.151,'Soybean Oil(loose)'
50,55,59.335,4.335,'Ata (Packet)'
51,57.5,60.831,3.331,'Ata (Packet)'
52,52.5,58.672,6.172,'Ata (Packet)'
53,49,56.961,7.961,'Ata (Packet)'
54,55,61.753,6.753,'Ata (Packet)'
55,42.75,48.966,6.216,'Ata (loose) - White'
56,45,49.622,4.622,'Ata (loose) - White'
57,43.5,49.114,5.614,'Ata (loose) - White'
58,42.5,48.683,6.183,'Ata (loose) - White'
59,42.5,50.295,7.795,'Ata (loose) - White'
60,775,766.524,-8.476,Beef
61,728.333,746.569,18.235,Beef
62,720,740.606,20.606,Beef
63,695,724.694,29.694,Beef
64,735,758.513,23.513,Beef
65,157.5,168.959,11.459,'Broiler chicken'
66,168.333,174.579,6.246,'Broiler chicken'
67,165,172.006,7.006,'Broiler chicken'
68,172.5,172.321,-0.179,'Broiler chicken'
69,155,169.408,14.408,'Broiler chicken'
70,48,47.463,-0.537,'Egg Farm-Red'
71,49.167,48.566,-0.601,'Egg Farm-Red'
72,49,45.749,-3.251,'Egg Farm-Red'
73,47.5,46.532,-0.968,'Egg Farm-Red'
74,50,48.074,-1.926,'Egg Farm-Red'
75,153.75,174.657,20.907,'Garlic (Imported)'
76,150,178.847,28.847,'Garlic (Imported)'
77,150,171.082,21.082,'Garlic (Imported)'
78,205,195.335,-9.665,'Garlic (Imported)'
79,135,163.494,28.494,'Garlic (Imported)'
80,85,117.212,32.212,'Garlic (local) - Big Size'
81,113.333,110.32,-3.013,'Garlic (local) - Big Size'
82,105,104.397,-0.603,'Garlic (local) - Big Size'
83,110,106.824,-3.176,'Garlic (local) - Big Size'
84,100,103.412,3.412,'Garlic (local) - Big Size'
85,175,160.482,-14.518,'Ginger (Imported)'
86,168.333,152.813,-15.52,'Ginger (Imported)'
87,170,133.527,-36.473,'Ginger (Imported)'
88,165,129.309,-35.691,'Ginger (Imported)'
89,160,142.899,-17.101,'Ginger (Imported)'
90,222.5,135.3,-87.2,'Green Chili (Local)'
91,220,199.148,-20.852,'Green Chili (Local)'
92,1330,125.062,-1204.938,'Green Chili (Local)'
93,210,117.142,-92.858,'Green Chili (Local)'
94,215,145.007,-69.993,'Green Chili (Local)'
95,147.5,148.298,0.798,'Lentils - Desi-Whole'
96,145,147.285,2.285,'Lentils - Desi-Whole'
97,135,146.044,11.044,'Lentils - Desi-Whole'
98,97.5,98.426,0.926,Milk
99,72.5,62.04,-10.46,'Onion (local)'
100,72.5,61.02,-11.48,'Onion (local)'
101,72.5,57.875,-14.625,'Onion (local)'
102,69,60.943,-8.057,'Onion (local)'
103,70,63.314,-6.686,'Onion (local)'
104,159,167.546,8.546,'Palm Oil'
105,150.5,163.61,13.11,'Palm Oil'
106,151,161.148,10.148,'Palm Oil'
107,153.5,163.521,10.021,'Palm Oil'
108,164,170.016,6.016,'Palm Oil'
109,167.5,183.738,16.238,'Pangash (big)'
110,170,179.594,9.594,'Pangash (big)'
111,175,183.048,8.048,'Pangash (big)'
112,165,178.565,13.565,'Pangash (big)'
113,19,25.718,6.718,'Potato (Holland) - Red'
114,19,25.808,6.808,'Potato (Holland) - Red'
115,79.75,85.575,5.825,'Rice - Fine'
116,77.5,82.7,5.2,'Rice - Fine'
117,79,84.284,5.284,'Rice - Fine'
118,63,69.965,6.965,'Rice - Medium'
119,63.5,68.657,5.157,'Rice - Medium'
120,65,70.441,5.441,'Rice - Medium'
121,174.25,184.793,10.543,'Soybean Oil(loose)'
122,172,182.653,10.653,'Soybean Oil(loose)'
123,165.5,177.816,12.316,'Soybean Oil(loose)'
124,171,179.463,8.463,'Soybean Oil(loose)'
125,182.5,189.359,6.859,'Soybean Oil(loose)'
126,51,58.96,7.96,'Ata (Packet)'
127,59,60.431,1.431,'Ata (Packet)'
128,52.5,58.24,5.74,'Ata (Packet)'
129,49,56.543,7.543,'Ata (Packet)'
130,55,61.321,6.321,'Ata (Packet)'
131,45,48.52,3.52,'Ata (loose) - White'
132,45.5,49.185,3.685,'Ata (loose) - White'
133,43.5,48.682,5.182,'Ata (loose) - White'
134,43.5,48.251,4.751,'Ata (loose) - White'
135,42.5,49.863,7.363,'Ata (loose) - White'
136,770,766.163,-3.837,Beef
137,725,745.909,20.909,Beef
138,720,739.818,19.818,Beef
139,695,724.262,29.262,Beef
140,735,758.081,23.081,Beef
141,157.5,168.474,10.974,'Broiler chicken'
142,168.333,174.382,6.048,'Broiler chicken'
143,165,172.273,7.273,'Broiler chicken'
144,167.5,172.031,4.531,'Broiler chicken'
145,160,168.966,8.966,'Broiler chicken'
146,47,47.125,0.125,'Egg Farm-Red'
147,49.167,48.15,-1.017,'Egg Farm-Red'
148,49,45.457,-3.543,'Egg Farm-Red'
149,47.5,46.178,-1.322,'Egg Farm-Red'
150,50,47.748,-2.252,'Egg Farm-Red'
151,152.5,173.94,21.44,'Garlic (Imported)'
152,150,177.44,27.44,'Garlic (Imported)'
153,150,169.653,19.653,'Garlic (Imported)'
154,205,195.259,-9.741,'Garlic (Imported)'
155,135,162.777,27.777,'Garlic (Imported)'
156,110,116.21,6.21,'Garlic (local) - Big Size'
157,117.5,109.942,-7.558,'Garlic (local) - Big Size'
158,105,103.609,-1.391,'Garlic (local) - Big Size'
159,110,106.179,-3.821,'Garlic (local) - Big Size'
160,110,101.904,-8.096,'Garlic (local) - Big Size'
161,192.5,160.927,-31.573,'Ginger (Imported)'
162,187.5,152.435,-35.065,'Ginger (Imported)'
163,165,134.564,-30.436,'Ginger (Imported)'
