inst#,actual,predicted,error,commodity_name
1,56.75,60.568,3.818,'Ata (Packet)'
2,49,46.559,-2.441,'Ata (Packet)'
3,55,60.586,5.586,'Ata (Packet)'
4,44,41.516,-2.484,'Ata (loose) - White'
5,42.5,41.515,-0.985,'Ata (loose) - White'
6,42.5,42.595,0.095,'Ata (loose) - White'
7,728.333,735.024,6.691,Beef
8,695,699.637,4.637,Beef
9,735,738.445,3.445,Beef
10,167.5,171.409,3.909,'Broiler chicken'
11,177.5,167.465,-10.035,'Broiler chicken'
12,155,158.757,3.757,'Broiler chicken'
13,49.167,42.345,-6.822,'Egg Farm-Red'
14,47.5,42.582,-4.918,'Egg Farm-Red'
15,50,42.943,-7.057,'Egg Farm-Red'
16,148.333,158.938,10.604,'Garlic (Imported)'
17,205,192.33,-12.67,'Garlic (Imported)'
18,140,158.204,18.204,'Garlic (Imported)'
19,113.333,104.815,-8.519,'Garlic (local) - Big Size'
20,110,104.929,-5.071,'Garlic (local) - Big Size'
21,100,104.216,4.216,'Garlic (local) - Big Size'
22,181.667,167.322,-14.345,'Ginger (Imported)'
23,165,168.583,3.583,'Ginger (Imported)'
24,160,205.245,45.245,'Ginger (Imported)'
25,210,271.447,61.447,'Green Chili (Local)'
26,210,351.898,141.898,'Green Chili (Local)'
27,215,287.496,72.496,'Green Chili (Local)'
28,147.5,163.899,16.399,'Lentils - Desi-Whole'
29,135,163.673,28.673,'Lentils - Desi-Whole'
30,97.5,98.265,0.765,Milk
31,71.333,60.584,-10.749,'Onion (local)'
32,70,60.557,-9.443,'Onion (local)'
33,70,60.643,-9.357,'Onion (local)'
34,150.5,155.179,4.679,'Palm Oil'
35,153.5,155.237,1.737,'Palm Oil'
36,164,162.145,-1.855,'Palm Oil'
37,175,176.599,1.599,'Pangash (big)'
38,175,176.639,1.639,'Pangash (big)'
39,165,164.249,-0.751,'Pangash (big)'
40,19,19.458,0.458,'Potato (Holland) - Red'
41,79.75,79.357,-0.393,'Rice - Fine'
42,77.5,79.23,1.73,'Rice - Fine'
43,79,79.281,0.281,'Rice - Fine'
44,63,60.718,-2.282,'Rice - Medium'
45,63.5,60.707,-2.793,'Rice - Medium'
46,65,60.731,-4.269,'Rice - Medium'
47,171.75,174.869,3.119,'Soybean Oil(loose)'
48,171,162.375,-8.625,'Soybean Oil(loose)'
49,182.5,185.268,2.768,'Soybean Oil(loose)'
50,55,48.717,-6.283,'Ata (Packet)'
51,57.5,60.565,3.065,'Ata (Packet)'
52,52.5,60.564,8.064,'Ata (Packet)'
53,49,46.556,-2.444,'Ata (Packet)'
54,55,60.584,5.584,'Ata (Packet)'
55,42.75,40.79,-1.96,'Ata (loose) - White'
56,45,41.512,-3.488,'Ata (loose) - White'
57,43.5,43.314,-0.186,'Ata (loose) - White'
58,42.5,41.512,-0.988,'Ata (loose) - White'
59,42.5,42.592,0.092,'Ata (loose) - White'
60,775,768.694,-6.306,Beef
61,728.333,735.262,6.929,Beef
62,720,722.922,2.922,Beef
63,695,699.663,4.663,Beef
64,735,738.22,3.22,Beef
65,157.5,156.147,-1.353,'Broiler chicken'
66,168.333,172.917,4.584,'Broiler chicken'
67,165,167.22,2.22,'Broiler chicken'
