division,commodity_name,retail_unit,year,month,day,usd_bdt_rate,average_price
Barisal,Ata (Packet),Kilogram,2025,6,16,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,17,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,18,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,19,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,22,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,23,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,24,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,25,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,26,122.3,47.0
Barisal,Ata (Packet),Kilogram,2025,6,30,122.725,47.0
Barisal,Ata (Packet),Kilogram,2025,7,1,122.725,55.0
Barisal,Ata (Packet),Kilogram,2025,7,2,122.3,51.0
Barisal,Ata (Packet),Kilogram,2025,7,3,122.675,51.0
Barisal,Ata (Packet),Kilogram,2025,7,7,122.3,51.0
Barisal,Ata (Packet),Kilogram,2025,7,8,122.0,55.0
Barisal,Ata (Packet),Kilogram,2025,7,9,121.9,51.0
Barisal,Ata (Packet),Kilogram,2025,7,10,121.6,51.0
Barisal,Ata (Packet),Kilogram,2025,7,13,121.6,51.0
Barisal,Ata (Packet),Kilogram,2025,7,14,121.0,51.0
Barisal,Ata (Packet),Kilogram,2025,7,15,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,7,16,121.3,51.0
Barisal,Ata (Packet),Kilogram,2025,7,17,121.4,51.0
Barisal,Ata (Packet),Kilogram,2025,7,20,121.4,51.0
Barisal,Ata (Packet),Kilogram,2025,7,21,121.625,51.0
Barisal,Ata (Packet),Kilogram,2025,7,22,121.75,51.0
Barisal,Ata (Packet),Kilogram,2025,7,23,121.9,51.0
Barisal,Ata (Packet),Kilogram,2025,7,24,122.25,51.0
Barisal,Ata (Packet),Kilogram,2025,7,27,122.25,47.0
Barisal,Ata (Packet),Kilogram,2025,7,28,122.5,51.0
Barisal,Ata (Packet),Kilogram,2025,7,29,122.85,51.0
Barisal,Ata (Packet),Kilogram,2025,7,30,122.6,51.0
Barisal,Ata (Packet),Kilogram,2025,7,31,122.25,51.0
Barisal,Ata (Packet),Kilogram,2025,8,3,122.25,51.0
Barisal,Ata (Packet),Kilogram,2025,8,4,121.9,51.0
Barisal,Ata (Packet),Kilogram,2025,8,6,121.7,51.0
Barisal,Ata (Packet),Kilogram,2025,8,7,121.5,55.0
Barisal,Ata (Packet),Kilogram,2025,8,10,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,8,11,121.5,55.0
Barisal,Ata (Packet),Kilogram,2025,8,12,121.625,51.0
Barisal,Ata (Packet),Kilogram,2025,8,13,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,8,14,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,8,17,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,8,18,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,8,19,121.5,51.0
Barisal,Ata (Packet),Kilogram,2025,8,20,121.5,55.0
Barisal,Ata (Packet),Kilogram,2025,8,21,121.6,51.0
Barisal,Ata (Packet),Kilogram,2025,8,24,121.6,51.0
Barisal,Ata (Packet),Kilogram,2025,8,25,121.75,51.0
Barisal,Ata (Packet),Kilogram,2025,8,26,121.925,51.0
Barisal,Ata (Packet),Kilogram,2025,8,27,121.725,51.0
Barisal,Ata (Packet),Kilogram,2025,8,28,121.6,51.0
Barisal,Ata (Packet),Kilogram,2025,8,31,121.6,51.0
Barisal,Ata (Packet),Kilogram,2025,9,1,121.6,50.5
Barisal,Ata (Packet),Kilogram,2025,9,2,121.65,57.5
Barisal,Ata (Packet),Kilogram,2025,9,3,121.775,50.5
Barisal,Ata (Packet),Kilogram,2025,9,4,121.7,50.5
Barisal,Ata (Packet),Kilogram,2025,9,7,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,8,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,9,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,10,121.725,57.5
Barisal,Ata (Packet),Kilogram,2025,9,11,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,14,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,15,121.725,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,16,121.75,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,17,121.75,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,18,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,21,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,22,121.75,57.5
Barisal,Ata (Packet),Kilogram,2025,9,23,121.7,53.16666666666666
Barisal,Ata (Packet),Kilogram,2025,9,24,121.7,57.5
